ID,Star,AltName,Karmn,RA_J2000,DE_J2000,SpT,SpTnum,d_pc,ed_pc,Lbol_Lsol,eLbol_Lsol,Teff_K,eTeff_K,R_Rsol,eR_Rsol,M_Msol,eM_Msol,J_mag,eJ_mag,Ks_mag,eKs_mag,Planet,TOI,Porb_d,a_au,R_Rterra,euR_Rterra,edR_Rterra,M_Mterra,euM_Mterra,edM_Mterra,rho_gcm-3,eurho_gcm-3,edrho_gcm-3,Teq_K,euTeq_K,edTeq_K,TSM,ESM,Method,DiscoveryRef,ParameterRef
17,TOI-1235,TYC 4384-1735-1,J10088+692,10:08:52.38,+69:16:35.8,M0.5 V,0.5,39.68,0.048,0.0883,3.0918284E-4,3997,51,0.619,0.01916,0.63,0.024,8.711,0.02,7.893,0.023,b,1235.01,3.444717,0.03826,1.694,0.08,0.077,5.9,0.62,0.61,6.7,1.3,1.1,775.0,13.0,13.0,5.74,5.17,RV,Blu21,Blu21 Clo21
18,GJ 1132,LTT 3758,,10:14:51.78,-47:09:24.2,M4 V,4.0,12.6176,0.0069,0.004559158,3.9007817E-5,3270,140,0.2105,0.0102,0.181,0.019,9.245,0.026,8.322,0.027,b,667.01,1.628931,0.0153,1.13,0.056,0.056,1.58,0.49,0.48,6.0,2.16,1.94,529.0,9.0,9.0,31.8,10.1,RV,Ber15,Ber15 Bon18
19,LTT 3780,LP 729-54,J10185-117,10:18:34.77,-11:43:04.1,M3.5 V,3.5,21.995,0.04,0.017054481,3.9632115E-4,3360,51,0.382,0.012,0.379,0.016,9.007,0.03,8.204,0.021,b,732.01,0.768377,0.01203,1.35,0.06,0.06,2.34,0.24,0.23,5.24,0.94,0.81,1000.0,98.0,100.0,,,RV,Now20,Clo20a Now20
20,LTT 3780,LP 729-54,J10185-117,10:18:34.77,-11:43:04.1,M3.5 V,3.5,21.995,0.04,0.017054481,3.9632115E-4,3360,51,0.382,0.012,0.379,0.016,9.007,0.03,8.204,0.021,c,732.02,12.252131,0.0762,2.42,0.1,0.1,6.29,0.63,0.61,2.45,0.44,0.47,397.0,37.0,40.0,122.0,,RV,Now20,Clo20a Now20
21,K2-3,PM J11293-0127,,11:29:20.39,-01:27:17.3,M0.0 V,0.0,44.23,0.11,0.061039526,0.0018376805,3835,70,0.561,0.068,0.601,0.089,9.421,0.027,8.561,0.023,b,,10.054626,0.0775,2.103,0.257,0.256,6.48,0.99,0.93,3.7,1.67,1.08,463.0,39.0,39.0,,,RV,Cro15,Cro15 Dam18 Kos19
22,K2-3,PM J11293-0127,,11:29:20.39,-01:27:17.3,M0.0 V,0.0,44.23,0.11,0.061039526,0.0018376805,3835,70,0.561,0.068,0.601,0.089,9.421,0.027,8.561,0.023,c,,24.646582,0.1415,1.584,0.197,0.195,2.14,1.08,1.04,2.98,1.96,1.5,344.0,29.0,29.0,5.31,0.4,RV,Cro15,Cro15 Dam18 Kos19
23,K2-18,PM J11302+0735,J11302+076,11:30:14.52,+07:35:18.3,M2.5 V,2.5,38.068,0.079,0.027032979,5.714769E-4,3457,39,0.469,0.01,0.495,0.004,9.763,0.028,8.899,0.019,b,,32.939614,0.1429,2.711,0.065,0.065,8.64,1.35,1.35,2.4,0.4,0.4,284.0,15.0,15.0,,,RV,Ben17,Ben17 Sar18 Clou19
24,GJ 436,Ross 905,J11421+267,11:42:11.09,+26:42:23.7,M2.5 V,2.5,9.756,0.0089,0.024313038,3.4315043E-4,3416,54,0.44518,0.01442,0.4262,0.0171,6.9,0.024,6.073,0.016,b,1796.01,2.64394,0.02887,4.1,0.16,0.16,21.36,0.2,0.21,1.73,0.23,0.2,675.0,43.0,64.0,,,RV,But04,But04 Lan14 Tri18
25,TOI-776,LP 961-53,,11:54:18.39,-37:33:09.8,M1 V,1.0,27.19,0.03,0.0498682,2.4635615E-4,3709,70,0.544,0.028,0.538,0.024,8.483,0.018,7.615,0.02,b,776.02,8.24664,0.0652,1.85,0.13,0.13,4.0,0.9,0.9,3.4,1.1,0.9,514.0,17.0,17.0,77.9,,RV,Luq21,Luq21
26,TOI-776,LP 961-53,,11:54:18.39,-37:33:09.8,M1 V,1.0,27.19,0.03,0.0498682,2.4635615E-4,3709,70,0.544,0.028,0.538,0.024,8.483,0.018,7.615,0.02,c,776.01,15.6653,0.1,2.02,0.14,0.14,5.3,1.8,1.8,3.5,1.4,1.3,415.0,14.0,14.0,61.8,,RV,Luq21,Luq21
27,GJ 486,TOI-1827,,12:47:56.62,+09:45:05.0,M3.5 V,3.5,8.0761,0.0041,0.012113842,1.8247405E-4,3340,54,0.3287,0.01091,0.323,0.015,7.195,0.026,6.362,0.018,b,1827.01,1.467119,0.01734,1.305,0.063,0.067,2.82,0.11,0.12,7.0,1.2,1.0,701.0,13.0,13.0,35.4,21.6,RV,Tri20,Tri20
28,TOI-1266,PM J13119+6550,J13119+658,13:11:59.56,+65:50:01.7,M3 V,3.0,36.011,0.03,0.028008478,6.8515714E-4,3548,70,0.42,0.02,0.45,0.03,9.706,0.023,8.84,0.02,b,1266.01,10.894843,0.0736,2.37,0.16,0.12,13.5,11.0,9.0,5.4,4.9,4.3,413.0,20.0,20.0,,,TTV,Dem20,Ste20 Dem20
29,TOI-1266,PM J13119+6550,J13119+658,13:11:59.56,+65:50:01.7,M3 V,3.0,36.011,0.03,0.028008478,6.8515714E-4,3548,70,0.42,0.02,0.45,0.03,9.706,0.023,8.84,0.02,c,1266.02,18.80151,0.1058,1.56,0.15,0.13,2.2,2.0,1.5,3.1,3.3,2.8,344.0,16.0,16.0,,,TTV,Dem20,Ste20 Dem20
30,GJ 1214,LHS 3275,J17153+049,17:15:18.93,+04:57:50.1,M4.5 V,4.5,14.649,0.037,0.0034073924,4.9612874E-5,3026,150,0.216,0.012,0.15,0.011,9.75,0.024,8.782,0.02,b,,1.580404497,0.01411,2.85,0.2,0.2,6.26,0.86,0.86,1.49,0.42,0.33,576.0,14.0,14.0,,,RV,Cha09,Cha09 Ang13 Harp14
31,Kepler-138,KOI-314,,19:21:31.57,+43:17:34.7,M1 V,1.0,66.99,0.11,0.058409784,0.001153808,3933,37,0.582,0.045,0.551,0.068,10.293,0.022,9.506,0.011,b,,10.31368,0.076,0.701,0.066,0.066,0.187,0.05,0.05,3.02,1.0,0.87,524.0,,,4.74,0.15,TTV,Kip14,Kip14 Jon15 Alm18
32,Kepler-138,KOI-314,,19:21:31.57,+43:17:34.7,M1 V,1.0,66.99,0.11,0.058409784,0.001153808,3933,37,0.582,0.045,0.551,0.068,10.293,0.022,9.506,0.011,c,,13.781564,0.0922,1.67,0.15,0.15,5.2,1.2,1.2,6.1,1.9,1.5,476.0,,,2.1,0.62,TTV,Kip14,Kip14 Jon15 Alm18
33,Kepler-138,KOI-314,,19:21:31.57,+43:17:34.7,M1 V,1.0,66.99,0.11,0.058409784,0.001153808,3933,37,0.582,0.045,0.551,0.068,10.293,0.022,9.506,0.011,d,,23.09302,0.1301,1.68,0.15,0.15,1.17,0.3,0.3,1.36,0.44,0.35,401.0,,,8.01,0.31,TTV,Kip14,Kip14 Jon15 Alm18
34,GJ 1252,L 210-70,,20:27:42.08,-56:27:25.2,M3.0 V,3.0,20.385,0.019,0.0196,0.0026,3458,140,0.391,0.02,0.381,0.019,8.697,0.019,7.915,0.023,b,1078.01,0.5182349,0.00916,1.193,0.074,0.074,2.09,0.56,0.56,6.8,2.2,2.2,1089.0,69.0,69.0,20.0,16.4,RV,Shp20,Shp20
35,TRAPPIST-1,2MUCD 12171,J23064-050,23:06:29.37,-05:02:29.0,M8.0 V,8.0,12.43,0.019,5.53E-4,1.9E-5,2566,26,0.1192,0.0013,0.0898,0.0023,11.354,0.022,10.296,0.023,b,,1.510826,0.01154,1.116,0.014,0.012,1.374,0.069,0.069,5.425,0.265,0.272,400.1,7.7,7.7,39.8,3.66,TTV,Gil16,Gil16 Gil17 Gri18 Ago21
36,TRAPPIST-1,2MUCD 12171,J23064-050,23:06:29.37,-05:02:29.0,M8.0 V,8.0,12.43,0.019,5.53E-4,1.9E-5,2566,26,0.1192,0.0013,0.0899,0.0024,11.354,0.022,10.296,0.023,c,,2.421937,0.0158,1.097,0.014,0.012,1.308,0.056,0.056,5.447,0.222,0.235,341.9,6.6,6.6,27.8,1.6,TTV,Gil16,Gil16 Gil17 Gri18 Ago21
37,TRAPPIST-1,2MUCD 12171,J23064-050,23:06:29.37,-05:02:29.0,M8.0 V,8.0,12.43,0.019,5.53E-4,1.9E-5,2566,26,0.1192,0.0013,0.09,0.0025,11.354,0.022,10.296,0.023,d,,4.049219,0.02227,0.788,0.011,0.01,0.388,0.012,0.012,4.354,0.156,0.163,288.0,5.6,5.6,33.6,0.31,TTV,Gil16,Gil16 Gil17 Gri18 Ago21
38,TRAPPIST-1,2MUCD 12171,J23064-050,23:06:29.37,-05:02:29.0,M8.0 V,8.0,12.43,0.019,5.53E-4,1.9E-5,2566,26,0.1192,0.0013,0.0901,0.0026,11.354,0.022,10.296,0.023,e,,6.101013,0.02925,0.92,0.013,0.012,0.692,0.022,0.022,4.885,0.168,0.182,251.3,4.9,4.9,17.6,0.16,TTV,Gil16,Gil16 Gil17 Gri18 Ago21
39,TRAPPIST-1,2MUCD 12171,J23064-050,23:06:29.37,-05:02:29.0,M8.0 V,8.0,12.43,0.019,5.53E-4,1.9E-5,2566,26,0.1192,0.0013,0.0902,0.0027,11.354,0.022,10.296,0.023,f,,9.20754,0.03849,1.045,0.013,0.012,1.039,0.031,0.031,5.009,0.138,0.158,219.0,4.2,4.2,19.3,0.08,TTV,Gil16,Gil16 Gil17 Gri18 Ago21
40,TRAPPIST-1,2MUCD 12171,J23064-050,23:06:29.37,-05:02:29.0,M8.0 V,8.0,12.43,0.019,5.53E-4,1.9E-5,2566,26,0.1192,0.0013,0.0903,0.0028,11.354,0.022,10.296,0.023,g,,12.352446,0.04683,1.129,0.015,0.015,1.321,0.038,0.038,5.042,0.136,0.158,198.6,3.8,3.8,18.8,0.04,TTV,Gil16,Gil16 Gil17 Gri18 Ago21
41,TRAPPIST-1,2MUCD 12171,J23064-050,23:06:29.37,-05:02:29.0,M8.0 V,8.0,12.43,0.019,5.53E-4,1.9E-5,2566,26,0.1192,0.0013,0.0904,0.0029,11.354,0.022,10.296,0.023,h,,18.772866,0.06189,0.755,0.014,0.014,0.326,0.02,0.02,4.147,0.322,0.302,168.0,21.0,28.0,17.1,0.0,TTV,Gil16,Gil16 Gil17 Gri18 Ago21
42,CD-60 8051,L 168-9,,23:20:07.52,-60:03:54.6,M1 V,1.0,25.15,0.024,0.0673,0.0024,3800,70,0.6,0.022,0.62,0.03,7.941,0.019,7.082,0.031,b,134.01,1.4015,0.02091,1.39,0.09,0.09,4.6,0.56,0.56,9.6,2.4,1.8,965.0,20.0,20.0,8.025,9.692,RV,Ast20,Ast20
43,TOI-270,L 231-32,,04:33:39.72,-51:57:22.4,m3 V,3.0,22.453,0.059,0.0194,0.0019,3506,70,0.378,0.011,0.386,0.008,9.099,0.032,8.251,0.029,b,270.01,3.360161,0.03199,1.151,0.05,0.05,1.58,0.26,0.26,5.7,1.2,1.2,581.0,15.0,15.0,,,RV,VEy21,VEy21
44,TOI-270,L 231-32,,04:33:39.72,-51:57:22.4,m3 V,3.0,22.453,0.059,0.0194,0.0019,3506,70,0.378,0.011,0.386,0.008,9.099,0.032,8.251,0.029,c,270.02,5.660183,0.04529,2.332,0.072,0.072,6.14,0.38,0.38,2.68,0.3,0.3,488.0,12.0,12.0,,,RV,VEy21,VEy21
45,TOI-270,L 231-32,,04:33:39.72,-51:57:22.4,m3 V,3.0,22.453,0.059,0.0194,0.0019,3506,70,0.378,0.011,0.386,0.008,9.099,0.032,8.251,0.029,d,270.03,11.38027,0.07215,2.005,0.067,0.067,4.78,0.46,0.46,3.28,0.45,0.45,387.0,10.0,10.0,,,RV,VEy21,VEy21
46,AU Mic,GJ 803,J20451-313,20:45:09.49,-31:20:26.6,M0.5 V,0.5,9.79,0.04,0.09,0.01,3700,100,0.75,0.03,0.5,0.03,5.436,0.017,4.529,0.02,b,2221.01,8.46321,0.066,4.07,0.17,0.17,17.1,4.7,4.5,1.3,0.4,0.4,593.0,21.0,21.0,,,RV,Pla20,Pla20 Kle20 Mar21
47,K2-25,,,04:13:05.74,+15:14:51.7,M4.5 V,4.5,44.956,0.166,0.00816,2.9E-4,3207,58,0.2932,0.0093,0.2634,0.0077,11.303,0.021,10.444,0.019,b,,3.48456408,0.0287,3.44,0.12,0.12,24.5,5.7,5.2,3.3,0.8,0.8,494.0,11.0,11.0,,,RV,Dav16 Man16,Man16 Tha20 Ste20
48,TOI-269,,,05:03:23.11,-54:10:39.8,M2.0 V,2.0,57.023,0.076,,,3514,70,0.398,0.012,0.3917,0.0095,10.909,0.026,10.1,0.023,b,269.01,3.6977104,0.0345,2.77,0.12,0.12,8.8,1.4,1.4,2.28,0.48,0.42,531.0,25.0,25.0,89.0,,RV,Coin21,Coin21
49,TOI-1231,NLTT 24399,,10:26:59.34,-52:28:04.2,M3.0 V,3.0,27.493,0.012,0.0326,0.001,3553,52,0.476,0.015,0.485,0.024,8.876,0.027,8.069,0.026,b,1231.01,24.245586,0.1288,3.65,0.16,0.15,15.4,3.3,3.3,1.74,0.47,0.42,329.0,3.8,3.7,99.0,,RV,Burt21,Burt21
